AsBuilt_Name,Pages,Pipe_type
Kealy Ave 323 Jim Crosby Equipment Company 2591,2,['Good' 'Unknown']
Kealy Ave 414 Holland Office Building 2037-08,13,['Unknown' 'Good' 'Bad']
Kealy Ave 500 Thomas Addition 2587,1,['Unknown']
Kealy Ave 634 Bill Sweatman Office & Warehouse 2788,4,['Good' 'Unknown']
Kealy Ave 802 Unique Transportation 2686,1,['Unknown']
Kealy Ave 803 Vick Equipment 2538,1,['Good']
Kealy Ave North 326 Morrow Cabinet Parking Lot 2221-14,13,['Unknown' 'Bad']
Kealy Park Addition 2682,1,['Unknown']
Kealy St 201 Gladys Chastain Property 2722,1,['Unknown']
Kealy St 426 Northplex 2683,1,['Unknown']
Kealy St 516 A & B Concrete Work 2741,2,['Unknown']
Kelly Lumber Grant Davis Addition 2790,3,['Good' 'Unknown']
Kings Grant Addition 2131-11,42,['Unknown' 'Bad' 'Good']
Lake Lewisville Townhomes Addition 2077,6,['Unknown' 'Good']
Lake Park Rd 169 Twin Pines Nursing Center 2743,3,['Unknown']
Lake Park Rd 322 Lakeland Apartments 2631,7,['Unknown' 'Good']
Lake Park Rd 330 C,1,['Good' 'Bad']
Lake Park Rd 359 Lake Park Plaza 2503,3,['Unknown']
Lake Ridge Rd 2600 Broadstone Lake Ridge Apartments 2253-15,49,['Unknown' 'Good' 'Bad']
Lake Vista Dr 2600 Springhill Suites 2201-14,26,['Unknown' 'Good']
Lake Vista Dr 2650 Hampton Inn 2068-08,20,['Unknown' 'Good' 'Bad']
Lake Vista Dr 2700 Center For Veterinary Specialty Care 2203-14,16,['Unknown' 'Good']
Lake Vista Dr 2702 Kaar Dental 2216-14,18,['Unknown' 'Good' 'Bad']
Lake Vista Dr 2777 Lake Vista 7 - Phase 1 2014-07,50,['Unknown' 'Good' 'Bad']
Lake Vista Dr 2777 Lake Vista Ridge 7 Parking Lot 2134-11,18,['Unknown' 'Good']
Lake Vista Dr 2900 Lakeside Office Center Building 2 - Phase 2  2230-14,34,['Unknown']
Lake Vista Dr 2911 Lake Vista Pointe Parking Expansion 2057-08,20,['Unknown' 'Good' 'Bad']
